ano,sigla_uf,id_municipio,id_municipio_tse,situacao_biometria,zona,secao,genero,estado_civil,grupo_idade,instrucao,eleitores,eleitores_biometria,eleitores_deficiencia,eleitores_inclusao_nome_social
2022,PB,2507507,20516,biometrico,76,179,feminino,casado(a),35 a 39 anos,ensino superior completo,27,26,0,0
2022,PB,2507507,20516,biometrico,77,288,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,76,10,masculino,casado(a),50 a 54 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,1,223,feminino,solteiro(a),30 a 34 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,361,feminino,solteiro(a),21 a 24 anos,ensino medio completo,12,10,0,0
2022,PB,2507507,20516,biometrico,70,530,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,70,530,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,76,386,feminino,solteiro(a),25 a 29 anos,ensino superior completo,13,12,0,0
2022,PB,2507507,20516,biometrico,70,534,feminino,solteiro(a),21 a 24 anos,ensino medio completo,20,12,0,0
2022,PB,2507507,20516,biometrico,1,142,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,70,359,masculino,solteiro(a),40 a 44 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,234,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,1,110,feminino,solteiro(a),30 a 34 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,1,102,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,1,51,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,70,396,masculino,solteiro(a),35 a 39 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,464,feminino,casado(a),55 a 59 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,42,feminino,casado(a),45 a 49 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,77,303,feminino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,1,109,masculino,casado(a),40 a 44 anos,ensino superior completo,14,14,0,0
2022,PB,2507507,20516,biometrico,70,617,feminino,solteiro(a),35 a 39 anos,ensino medio completo,12,12,0,0
2022,PB,2507507,20516,biometrico,1,242,masculino,solteiro(a),30 a 34 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,76,56,feminino,solteiro(a),35 a 39 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,344,masculino,solteiro(a),30 a 34 anos,ensino fundamental incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,1,47,feminino,solteiro(a),40 a 44 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,485,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,1,157,feminino,solteiro(a),25 a 29 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,524,masculino,solteiro(a),25 a 29 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,70,517,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,64,164,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,70,443,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,1,226,feminino,solteiro(a),40 a 44 anos,ensino fundamental incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,76,329,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,70,509,feminino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,141,masculino,casado(a),40 a 44 anos,ensino superior completo,13,13,0,0
2022,PB,2507507,20516,biometrico,70,472,feminino,solteiro(a),25 a 29 anos,ensino medio completo,15,15,0,0
2022,PB,2507507,20516,biometrico,64,364,masculino,solteiro(a),30 a 34 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,70,519,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,16,16,0,0
2022,PB,2507507,20516,biometrico,77,373,masculino,solteiro(a),21 a 24 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,76,304,masculino,casado(a),60 a 64 anos,ensino superior completo,17,17,0,0
2022,PB,2507507,20516,biometrico,64,335,feminino,solteiro(a),21 a 24 anos,ensino medio completo,17,14,0,0
2022,PB,2507507,20516,biometrico,1,335,feminino,casado(a),35 a 39 anos,ensino superior completo,12,10,0,0
2022,PB,2507507,20516,biometrico,76,127,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,76,327,masculino,solteiro(a),25 a 29 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,70,396,feminino,solteiro(a),35 a 39 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,70,478,masculino,solteiro(a),25 a 29 anos,ensino medio completo,18,17,0,0
2022,PB,2507507,20516,biometrico,70,555,feminino,casado(a),55 a 59 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,491,feminino,solteiro(a),25 a 29 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,158,masculino,solteiro(a),35 a 39 anos,ensino superior completo,12,12,0,0
2022,PB,2507507,20516,biometrico,76,219,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,29,29,0,0
2022,PB,2507507,20516,biometrico,77,361,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,76,12,feminino,solteiro(a),30 a 34 anos,ensino superior completo,9,9,0,0
