id,turno,regiao,estado,municipio,zona,local,secao,vPresA22,vPresB13,vPresNulo,vPresBranco,vGovA,vGovB,vGovNulo,vGovBranco,qEleitAptos,qComparecimento,qEleitLibCodigo,qEleitBiometrico,modelUrna,jaVotou,arquivoBU,dataHoraAbertura,dataHoraEncerramento
594613,2,NE,PB,20516,1,1350,223,151,165,7,4,151,168,8,0,370,327,16,296,UE2020,,o00407-2051600010223.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:47.000000
594615,2,NE,PB,20516,1,1350,104,189,142,10,4,156,152,18,6,392,345,10,318,UE2020,,o00407-2051600010104.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:38.000000
594616,2,NE,PB,20516,1,1376,125,104,152,4,5,132,112,11,4,300,265,15,229,UE2020,,o00407-2051600010125.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:48.000000
594617,2,NE,PB,20516,1,1210,60,146,164,18,6,159,129,31,10,399,334,20,327,UE2020,1,o00407-2051600010060.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:36.000000
594618,2,NE,PB,20516,1,1422,142,144,153,24,7,172,109,32,11,397,328,18,325,UE2020,,o00407-2051600010142.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:20.000000
594619,2,NE,PB,20516,1,1430,145,143,168,13,8,184,119,16,9,401,332,22,282,UE2020,,o00407-2051600010145.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:00.000000
594620,2,NE,PB,20516,1,1473,162,166,172,9,3,173,154,17,6,421,350,44,349,UE2020,,o00407-2051600010162.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:44.000000
594621,2,NE,PB,20516,1,1252,88,135,174,26,4,159,140,31,9,392,339,24,323,UE2020,,o00407-2051600010088.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:20.000000
594622,2,NE,PB,20516,1,1414,134,136,156,11,5,169,105,26,8,364,308,23,293,UE2020,,o00407-2051600010134.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:45.000000
594623,2,NE,PB,20516,1,1341,110,178,161,8,2,188,142,9,4,396,349,29,323,UE2020,,o00407-2051600010110.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:54.000000
594624,2,NE,PB,20516,1,1627,253,171,166,19,5,202,114,30,15,430,361,12,352,UE2020,,o00407-2051600010253.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:32.000000
594625,2,NE,PB,20516,1,1139,33,170,140,16,0,174,124,22,3,397,326,22,292,UE2020,1,o00407-2051600010033.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:01.000000
594626,2,NE,PB,20516,1,1457,158,170,142,9,4,185,112,19,7,398,325,17,317,UE2020,,o00407-2051600010158.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:40.000000
594627,2,NE,PB,20516,1,1236,75,148,171,21,2,153,166,17,3,396,342,8,320,UE2020,,o00407-2051600010075.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:34.000000
594628,2,NE,PB,20516,1,1449,149,165,151,21,6,207,104,25,7,393,343,12,312,UE2020,1,o00407-2051600010149.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:59.000000
594629,2,NE,PB,20516,1,1740,326,178,179,8,5,176,156,16,7,419,370,20,336,UE2020,1,o00407-2051600010326.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:16.000000
594630,2,NE,PB,20516,1,1040,1,139,144,9,5,131,141,24,1,337,297,16,286,UE2020,,o00407-2051600010001.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:39.000000
594631,2,NE,PB,20516,1,1708,299,120,181,11,1,144,148,14,1,347,313,10,305,UE2020,,o00407-2051600010299.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:17.000000
594632,2,NE,PB,20516,1,1678,282,107,159,9,6,127,135,14,5,316,281,19,254,UE2020,,o00407-2051600010282.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:16.000000
594633,2,NE,PB,20516,1,1066,13,118,117,11,4,118,108,20,4,291,250,12,246,UE2020,,o00407-2051600010013.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:14.000000
