ano,turno,sigla_uf,id_municipio,id_municipio_tse,zona,secao,tipo_secao_agregada,numero,nome,tipo,endereco,bairro,cep,telefone,latitude,longitude,situacao,situacao_zona,situacao_secao,situacao_localidade,situacao_secao_acessibilidade,quantidade_eleitores,quantidade_eleitores_eleicao
2022,2,PB,2507507,20516,64,344,principal,1783,ESCOLA MUNICIPAL EDUCADOR FRANCISCO PEREIRA DA NOBREGA,convencional,"AV. ELIAS CAVALCANTI DE ALBUQUERQUE, S/N",CRISTO REDENTOR,58070400,83988871628,-7.16567517,-34.88111559,ativo,ativo,ativo,ativo,com acessibilidade,340,362
2022,1,PB,2507507,20516,64,13,principal,2054,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL ISABEL MARIA DAS NEVES,convencional,"AV. JOÃO MACHADO, 484",CENTRO,58013530,8332184194,-7.12620381,-34.88037477,ativo,ativo,ativo,ativo,com acessibilidade,295,297
2022,2,PB,2507507,20516,76,310,principal,1732,CLUBE DOS OFICIAIS DA POLICIA E BOMBEIROS DO ESTADO DA PARAIBA,convencional,AV GOV FLAVIO RIBEIRO COUTINHO 570 BESSA,BESSA,58037000,988026121,-7.0976826,-34.8394782,ativo,ativo,ativo,ativo,com acessibilidade,422,423
2022,2,PB,2507507,20516,1,125,principal,1376,INSTITUTO DOS CEGOS DA PARAIBA,convencional,AV SANTA CATARINA S/N - ESTADOS - JOÃO PESSOA,ESTADOS,58030071,,-7.11608629,-34.86096926,ativo,ativo,ativo,ativo,sem acessibilidade,285,300
2022,2,PB,2507507,20516,1,231,principal,1341,ESC. EST. PROF MATHEUS AUGUSTO DE OLIVEIRA (ANEXO SESQUICENTENÁRIO),convencional,AV MINAS GERAIS S/N - ESTADOS - JOÃO PESSOA,ESTADOS,58030090,,-7.11454034,-34.85695072,ativo,ativo,ativo,ativo,sem acessibilidade,394,400
2022,2,PB,2507507,20516,1,113,principal,1341,ESC. EST. PROF MATHEUS AUGUSTO DE OLIVEIRA (ANEXO SESQUICENTENÁRIO),convencional,AV MINAS GERAIS S/N - ESTADOS - JOÃO PESSOA,ESTADOS,58030090,,-7.11454034,-34.85695072,ativo,ativo,ativo,ativo,sem acessibilidade,394,397
2022,2,PB,2507507,20516,1,240,principal,1333,HBE BAIRRO DOS ESTADOS (ANTIGO HIPOCRATES),convencional,AV MINAS GERAIS 251 - ESTADOS - JOÃO PESSOA,ESTADOS,58030092,,-7.1145296,-34.85873286,ativo,ativo,ativo,ativo,sem acessibilidade,433,427
2022,1,PB,2507507,20516,64,140,principal,1350,ESCOLA MUNICIPAL AUGUSTO DOS ANJOS,convencional,"RUA OLÍVIA MARTINS DE ALMEIDA GUERRA, 391",CRISTO REDENTOR,58071430,83999241240,-7.16044759,-34.87743387,ativo,ativo,ativo,ativo,com acessibilidade,434,433
2022,1,PB,2507507,20516,76,170,principal,1821,COLEGIO MOTIVA ORIENTAL,convencional,"AV JOÃO CYRILLO DA SILVA, 1600",ALTIPLANO CABO BRANCO,58046005,30220500,-7.1391866,-34.8211151,ativo,ativo,ativo,ativo,com acessibilidade,407,404
2022,2,PB,2507507,20516,70,456,principal,1937,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL DAURA SANTIAGO RANGEL,convencional,RUA BENÍCIO DE OLIVEIRA LIMA S/N,JOSE AMERICO DE ALMEIDA,58073030,,-7.16759157,-34.85510789,ativo,ativo,ativo,ativo,sem acessibilidade,380,393
